"","Gender","Ever_Married","Age","Graduated","Profession","Work_Experience","Spending_Score","Family_Size","clusters$cluster"
"1573","Male","Yes",55,"Yes","Artist",0,"Average",3,3
"1574","Female","No",33,"No","Healthcare",1,"Low",7,6
"1575","Male","No",31,"Yes","Healthcare",1,"Low",5,6
"1576","Female","No",35,"Yes","Healthcare",3,"Low",6,6
"1577","Male","No",40,"Yes","Healthcare",8,"Low",3,6
"1578","Male","Yes",69,"No","Artist",0,"Average",3,3
"1579","Female","Yes",46,"Yes","Artist",1,"Low",4,5
"1580","Female","Yes",63,"Yes","Marketing",0,"Low",2,5
"1582","Male","Yes",61,"Yes","Artist",1,"Average",2,3
"1583","Female","No",50,"No","Engineer",1,"Low",1,1
"1585","Male","Yes",53,"Yes","Artist",0,"High",3,5
"1586","Female","Yes",35,"Yes","Engineer",0,"Average",2,1
"1587","Male","No",19,"No","Healthcare",7,"Low",3,6
"1588","Male","No",26,"No","Healthcare",3,"Low",4,6
"1589","Female","Yes",38,"No","Engineer",0,"Average",4,1
"1590","Female","No",26,"No","Artist",1,"Low",1,5
"1591","Male","Yes",39,"Yes","Healthcare",0,"High",3,6
"1592","Male","Yes",39,"Yes","Entertainment",1,"Low",4,5
"1594","Female","No",45,"Yes","Artist",2,"Low",1,5
"1595","Male","Yes",47,"No","Entertainment",0,"Average",4,3
"1596","Female","No",30,"Yes","Entertainment",0,"Low",5,5
"1597","Male","Yes",48,"No","Executive",5,"High",2,2
"1598","Female","Yes",76,"Yes","Marketing",0,"Low",2,5
"1599","Male","Yes",71,"Yes","Entertainment",0,"Low",2,5
"1600","Female","No",41,"Yes","Artist",0,"Low",1,5
"1602","Male","Yes",57,"Yes","Artist",1,"Average",5,3
"1603","Male","Yes",49,"No","Entertainment",0,"Low",1,5
"1604","Male","Yes",21,"No","Healthcare",1,"High",8,6
"1605","Male","No",18,"No","Healthcare",0,"Low",3,6
"1607","Female","No",33,"No","Homemaker",8,"Low",1,1
"1608","Male","Yes",53,"Yes","Entertainment",1,"Low",3,5
"1609","Male","Yes",55,"Yes","Artist",1,"Average",2,3
"1610","Male","Yes",73,"Yes","Lawyer",0,"High",4,4
"1612","Male","Yes",59,"Yes","Artist",0,"Low",2,5
"1613","Male","No",38,"Yes","Entertainment",0,"Low",2,5
"1614","Female","No",42,"Yes","Artist",0,"Low",2,5
"1615","Female","Yes",83,"Yes","Lawyer",1,"High",2,4
"1617","Male","Yes",46,"No","Artist",0,"Average",4,3
"1618","Male","Yes",37,"Yes","Entertainment",8,"Average",2,3
"1619","Female","Yes",42,"No","Engineer",1,"Low",3,1
"1620","Male","Yes",71,"Yes","Artist",0,"Average",2,3
"1621","Female","No",18,"No","Healthcare",7,"Low",3,6
"1622","Female","No",41,"Yes","Artist",4,"Low",1,5
"1623","Male","Yes",27,"Yes","Healthcare",0,"Low",5,6
"1624","Female","No",53,"No","Entertainment",1,"Low",1,5
"1625","Female","No",28,"No","Healthcare",0,"Low",3,6
"1627","Male","No",18,"No","Doctor",0,"Low",2,5
"1628","Male","No",19,"No","Healthcare",2,"Low",4,6
"1629","Female","No",32,"No","Healthcare",0,"Low",4,6
"1630","Male","No",30,"No","Healthcare",1,"Low",4,6
"1631","Male","No",36,"Yes","Doctor",0,"Low",1,5
"1632","Male","Yes",82,"Yes","Lawyer",5,"High",2,4
"1634","Male","No",45,"Yes","Artist",1,"Low",1,5
"1636","Male","Yes",27,"Yes","Entertainment",9,"Low",4,5
"1637","Female","No",18,"No","Healthcare",1,"Low",5,6
"1638","Male","Yes",22,"No","Doctor",1,"Low",4,5
"1639","Female","No",22,"No","Healthcare",2,"Low",6,6
"1640","Female","No",42,"No","Homemaker",8,"Low",1,1
"1641","Male","Yes",69,"No","Doctor",1,"Low",1,5
"1642","Female","Yes",43,"Yes","Homemaker",8,"High",2,1
"1643","Female","Yes",89,"No","Lawyer",3,"High",2,4
"1644","Female","No",26,"No","Healthcare",1,"Low",4,6
"1645","Male","No",43,"Yes","Artist",1,"Low",3,5
"1646","Male","Yes",30,"Yes","Entertainment",1,"Average",2,3
"1647","Female","Yes",60,"Yes","Executive",0,"Low",2,2
"1648","Female","Yes",38,"Yes","Doctor",7,"High",4,5
"1650","Male","Yes",45,"Yes","Entertainment",0,"Average",2,3
"1651","Male","No",20,"No","Healthcare",3,"Low",4,6
"1652","Female","Yes",51,"Yes","Marketing",9,"Low",1,5
"1653","Male","Yes",36,"Yes","Entertainment",1,"Average",4,3
"1654","Female","No",41,"No","Marketing",9,"Low",3,5
"1656","Female","No",30,"Yes","Artist",9,"Low",1,5
"1657","Female","No",23,"No","Homemaker",0,"Low",5,1
"1658","Male","Yes",39,"Yes","Healthcare",4,"Low",2,6
"1659","Male","Yes",63,"Yes","Artist",0,"Average",4,3
"1660","Male","Yes",60,"Yes","Artist",1,"Average",3,3
"1661","Male","No",20,"No","Healthcare",1,"Low",3,6
"1662","Female","Yes",89,"No","Lawyer",1,"High",2,4
"1664","Male","No",43,"Yes","Executive",1,"Low",4,2
"1665","Female","Yes",70,"No","Lawyer",3,"High",2,4
"1666","Male","No",35,"Yes","Artist",9,"Low",1,5
"1667","Male","Yes",42,"Yes","Artist",0,"High",2,5
"1668","Male","Yes",39,"Yes","Doctor",6,"Average",2,3
"1669","Female","Yes",29,"Yes","Healthcare",0,"Low",2,6
"1671","Female","Yes",74,"No","Lawyer",1,"Low",1,4
"1672","Male","Yes",41,"Yes","Artist",1,"Low",2,5
"1673","Male","Yes",51,"Yes","Entertainment",0,"Average",4,3
"1674","Male","Yes",50,"Yes","Executive",1,"High",3,2
"1675","Male","No",23,"No","Marketing",0,"Low",3,5
"1676","Male","No",36,"Yes","Artist",9,"Low",3,5
"1677","Male","No",36,"Yes","Artist",8,"Low",1,5
"1678","Female","Yes",50,"Yes","Doctor",1,"Low",2,5
"1680","Female","No",37,"No","Healthcare",1,"Low",1,6
"1681","Male","Yes",65,"Yes","Executive",0,"High",4,2
"1682","Female","No",26,"Yes","Healthcare",0,"Low",1,6
"1683","Male","Yes",55,"Yes","Entertainment",1,"Low",3,5
"1684","Male","Yes",65,"Yes","Executive",0,"High",2,2
"1685","Female","Yes",72,"Yes","Lawyer",1,"High",2,4
"1686","Male","Yes",51,"Yes","Artist",7,"Average",2,3
"1687","Male","No",25,"Yes","Artist",1,"Low",5,5
"1688","Male","Yes",38,"No","Executive",0,"High",3,2
"1691","Female","No",39,"Yes","Artist",0,"Low",3,5
"1692","Female","Yes",62,"Yes","Artist",0,"High",2,5
"1693","Female","Yes",37,"Yes","Artist",4,"Average",2,3
"1694","Female","No",28,"No","Engineer",3,"Low",7,1
"1695","Female","No",32,"Yes","Marketing",1,"Low",6,5
"1696","Male","No",31,"Yes","Doctor",14,"Low",2,5
"1697","Female","No",31,"No","Healthcare",1,"Low",3,6
"1699","Male","Yes",67,"Yes","Artist",1,"Average",2,3
"1700","Female","No",72,"Yes","Lawyer",0,"Low",1,4
"1701","Female","Yes",57,"No","Engineer",0,"Low",3,1
"1703","Male","Yes",36,"Yes","Entertainment",4,"Average",2,3
"1704","Female","No",21,"No","Homemaker",9,"Low",1,1
"1705","Male","Yes",47,"No","Entertainment",1,"Average",5,3
"1706","Female","No",25,"Yes","Entertainment",8,"Low",3,5
"1707","Female","Yes",41,"No","Engineer",9,"Average",2,1
"1708","Male","No",29,"Yes","Healthcare",0,"Low",4,6
"1709","Male","No",21,"No","Healthcare",0,"Low",3,6
"1710","Male","Yes",66,"Yes","Lawyer",0,"Low",1,4
"1711","Male","Yes",27,"Yes","Entertainment",10,"Low",2,5
"1713","Male","Yes",52,"Yes","Artist",4,"Low",1,5
"1714","Male","Yes",46,"Yes","Artist",1,"Average",3,3
"1715","Female","No",23,"No","Healthcare",0,"Low",4,6
"1716","Male","No",27,"Yes","Entertainment",0,"Low",5,5
"1717","Female","Yes",52,"Yes","Doctor",1,"Low",3,5
"1718","Male","Yes",65,"No","Artist",0,"Average",2,3
"1720","Male","Yes",59,"No","Entertainment",1,"Low",2,5
"1721","Female","Yes",45,"Yes","Lawyer",0,"Low",1,4
"1723","Female","Yes",61,"No","Engineer",1,"High",3,1
"1724","Female","Yes",53,"Yes","Artist",1,"Average",4,3
"1725","Female","Yes",37,"Yes","Doctor",1,"Average",2,3
"1726","Male","Yes",63,"Yes","Executive",0,"High",5,2
"1728","Female","Yes",50,"Yes","Artist",1,"Low",3,5
"1729","Female","Yes",62,"Yes","Artist",1,"Low",2,5
"1730","Male","Yes",49,"Yes","Artist",1,"Average",8,3
"1731","Male","Yes",46,"Yes","Homemaker",6,"Average",3,1
"1733","Male","Yes",53,"Yes","Executive",1,"High",4,2
"1734","Female","Yes",42,"Yes","Artist",2,"High",2,5
"1735","Female","Yes",28,"Yes","Artist",0,"Low",1,5
"1736","Female","Yes",49,"Yes","Engineer",1,"Average",4,1
"1737","Male","Yes",35,"Yes","Artist",1,"Average",2,3
"1739","Male","Yes",58,"Yes","Lawyer",0,"High",2,4
"1740","Male","Yes",41,"No","Artist",8,"Average",2,3
"1741","Male","Yes",32,"Yes","Entertainment",9,"Average",2,3
"1742","Male","No",33,"No","Entertainment",0,"Low",2,5
"1743","Male","Yes",69,"No","Entertainment",0,"Low",5,5
"1744","Female","No",31,"No","Doctor",6,"Low",4,5
"1746","Female","No",39,"No","Engineer",4,"Low",3,1
"1747","Female","No",21,"No","Healthcare",1,"Low",5,6
"1749","Female","Yes",41,"Yes","Artist",9,"Low",1,5
"1750","Male","Yes",49,"Yes","Artist",1,"Average",4,3
"1751","Female","Yes",38,"Yes","Executive",0,"Average",2,2
"1753","Female","Yes",52,"Yes","Artist",9,"Low",4,5
"1754","Female","No",46,"Yes","Artist",6,"Low",2,5
"1755","Male","No",28,"No","Doctor",4,"Low",3,5
"1756","Female","Yes",55,"Yes","Artist",0,"High",5,5
"1757","Female","No",41,"Yes","Healthcare",1,"Low",1,6
"1758","Male","Yes",47,"No","Executive",0,"High",2,2
"1759","Male","Yes",52,"Yes","Artist",0,"Low",3,5
"1760","Female","Yes",45,"Yes","Artist",4,"High",4,5
"1762","Male","Yes",78,"Yes","Lawyer",1,"Low",1,4
"1765","Male","Yes",38,"No","Doctor",0,"High",4,5
"1766","Female","Yes",50,"Yes","Artist",1,"Average",4,3
"1767","Female","Yes",53,"Yes","Engineer",8,"High",4,1
"1768","Male","No",43,"Yes","Artist",1,"Low",1,5
"1769","Male","Yes",59,"Yes","Artist",1,"Average",3,3
"1770","Female","No",38,"No","Entertainment",8,"Low",2,5
"1771","Male","Yes",42,"Yes","Artist",2,"Average",2,3
"1772","Male","Yes",65,"Yes","Artist",0,"Average",2,3
"1773","Male","Yes",79,"Yes","Lawyer",0,"Low",2,4
"1774","Female","No",41,"Yes","Artist",1,"Low",1,5
"1775","Male","Yes",42,"Yes","Entertainment",9,"Low",2,5
"1777","Male","Yes",49,"Yes","Doctor",1,"Average",2,3
"1778","Male","Yes",58,"Yes","Artist",1,"Low",2,5
"1779","Male","Yes",69,"Yes","Lawyer",0,"High",3,4
"1780","Female","No",35,"Yes","Artist",3,"Low",1,5
"1781","Female","Yes",47,"No","Engineer",0,"High",2,1
"1782","Female","No",25,"Yes","Marketing",12,"Low",1,5
"1783","Female","Yes",38,"Yes","Homemaker",0,"Low",2,1
"1784","Female","No",25,"No","Engineer",8,"Low",3,1
"1785","Male","Yes",76,"No","Lawyer",0,"Low",1,4
"1786","Female","No",23,"No","Healthcare",0,"Low",5,6
"1788","Female","Yes",49,"Yes","Artist",0,"Average",3,3
"1790","Female","Yes",71,"Yes","Artist",1,"High",2,5
"1791","Female","No",39,"No","Engineer",0,"Low",3,1
"1792","Female","No",41,"Yes","Artist",8,"Low",3,5
"1794","Female","Yes",27,"No","Homemaker",10,"Low",1,1
"1796","Female","Yes",35,"Yes","Artist",2,"Average",2,3
"1799","Female","Yes",49,"No","Engineer",0,"Low",1,1
"1800","Male","Yes",42,"No","Engineer",9,"Low",3,1
"1801","Male","No",39,"Yes","Artist",0,"Low",1,5
"1802","Male","Yes",68,"Yes","Lawyer",8,"Low",1,4
"1803","Male","Yes",57,"Yes","Artist",1,"Low",1,5
"1804","Male","No",38,"Yes","Artist",0,"Low",1,5
"1805","Female","Yes",35,"No","Engineer",2,"Average",5,1
"1806","Female","Yes",41,"Yes","Marketing",0,"Low",3,5
"1807","Male","Yes",40,"Yes","Artist",0,"Average",4,3
"1809","Male","Yes",53,"Yes","Artist",0,"Average",4,3
"1810","Female","Yes",38,"Yes","Homemaker",8,"Average",3,1
"1811","Female","Yes",68,"No","Marketing",0,"Low",2,5
"1812","Male","No",30,"No","Executive",1,"Low",2,2
"1813","Male","Yes",52,"No","Entertainment",4,"Average",5,3
"1814","Male","Yes",80,"Yes","Lawyer",1,"Low",1,4
"1815","Female","No",31,"Yes","Healthcare",1,"Low",7,6
"1817","Male","Yes",87,"No","Executive",0,"High",2,2
"1818","Male","No",23,"No","Healthcare",1,"Low",4,6
"1819","Male","No",45,"Yes","Artist",5,"Low",1,5
"1820","Male","Yes",36,"Yes","Artist",9,"Average",4,3
"1821","Male","Yes",41,"No","Executive",1,"High",2,2
"1822","Female","Yes",48,"Yes","Artist",0,"Low",4,5
"1823","Male","Yes",70,"Yes","Executive",1,"High",5,2
"1824","Female","Yes",84,"Yes","Lawyer",3,"High",2,4
"1825","Male","Yes",39,"Yes","Healthcare",11,"Average",2,3
"1826","Female","No",39,"Yes","Artist",0,"Low",1,5
"1827","Male","Yes",50,"Yes","Artist",1,"Average",4,3
"1828","Male","Yes",40,"Yes","Doctor",1,"Low",5,5
"1830","Male","Yes",38,"Yes","Artist",4,"Average",3,3
"1831","Male","Yes",71,"No","Lawyer",1,"High",2,4
"1832","Female","No",35,"Yes","Artist",10,"Low",1,5
"1833","Male","Yes",27,"Yes","Healthcare",5,"Low",5,6
"1834","Male","Yes",33,"No","Healthcare",8,"Average",3,6
"1836","Male","Yes",74,"Yes","Lawyer",1,"High",2,4
"1837","Male","No",20,"No","Marketing",0,"Low",2,5
"1838","Female","Yes",30,"No","Entertainment",1,"High",4,5
"1839","Male","No",22,"No","Doctor",0,"Low",4,5
"1840","Female","No",43,"Yes","Homemaker",9,"Low",1,1
"1841","Male","No",36,"Yes","Artist",11,"Low",2,5
"1842","Male","No",29,"Yes","Healthcare",4,"Low",2,6
"1843","Female","No",43,"Yes","Entertainment",0,"Low",6,5
"1844","Male","No",38,"Yes","Entertainment",7,"Low",1,5
"1845","Female","Yes",40,"Yes","Artist",5,"High",5,5
"1846","Female","Yes",68,"Yes","Lawyer",9,"High",4,4
"1848","Female","No",35,"Yes","Entertainment",9,"Low",2,5
"1849","Female","No",23,"No","Doctor",7,"Low",4,5
"1850","Male","No",50,"Yes","Artist",1,"Low",1,5
"1851","Female","No",32,"Yes","Doctor",0,"Low",5,5
"1852","Male","Yes",59,"Yes","Entertainment",9,"Low",1,5
"1853","Female","No",30,"Yes","Healthcare",3,"Low",5,6
"1854","Female","No",35,"Yes","Artist",0,"Low",1,5
"1855","Male","No",48,"Yes","Healthcare",1,"Low",2,6
"1856","Male","No",29,"No","Healthcare",9,"Low",4,6
"1857","Female","Yes",40,"Yes","Artist",1,"Average",2,3
"1858","Male","Yes",38,"Yes","Artist",1,"Average",3,3
"1859","Male","Yes",36,"No","Engineer",0,"Low",1,1
"1860","Male","No",20,"No","Healthcare",0,"Low",4,6
"1861","Male","No",29,"No","Healthcare",6,"Low",3,6
"1862","Male","Yes",42,"No","Executive",3,"High",3,2
"1863","Female","Yes",35,"Yes","Entertainment",1,"Low",1,5
"1864","Female","Yes",37,"No","Engineer",1,"Average",6,1
"1865","Female","Yes",52,"No","Artist",0,"Average",4,3
"1866","Male","No",53,"Yes","Artist",0,"Low",2,5
"1867","Male","Yes",30,"No","Artist",9,"High",6,5
"1868","Female","Yes",65,"Yes","Artist",1,"Low",2,5
"1869","Female","No",23,"No","Healthcare",1,"Low",3,6
"1870","Female","No",32,"No","Entertainment",0,"Low",3,5
"1871","Female","No",36,"Yes","Homemaker",9,"Low",1,1
"1872","Male","No",27,"No","Entertainment",1,"Low",3,5
"1873","Male","Yes",36,"Yes","Executive",0,"Low",2,2
"1874","Male","No",37,"Yes","Artist",12,"Low",1,5
"1875","Male","No",29,"No","Entertainment",0,"Low",3,5
"1876","Male","No",29,"Yes","Executive",0,"Low",5,2
"1877","Male","No",27,"Yes","Doctor",1,"Low",6,5
"1878","Female","No",35,"Yes","Engineer",2,"Low",1,1
"1879","Male","No",40,"Yes","Artist",1,"Low",1,5
"1880","Male","No",37,"Yes","Entertainment",6,"Low",4,5
"1881","Male","No",19,"No","Healthcare",0,"Low",5,6
"1882","Male","No",29,"Yes","Healthcare",0,"Low",4,6
"1883","Female","Yes",53,"Yes","Artist",0,"Average",2,3
"1887","Female","No",26,"No","Engineer",4,"Low",1,1
"1888","Female","No",30,"Yes","Healthcare",0,"Low",4,6
"1889","Male","No",30,"No","Entertainment",1,"Low",2,5
"1890","Male","Yes",69,"No","Executive",1,"High",3,2
"1891","Male","Yes",57,"Yes","Artist",0,"Low",1,5
"1892","Female","Yes",56,"Yes","Artist",4,"Average",2,3
"1893","Male","No",27,"Yes","Healthcare",8,"Low",4,6
"1894","Male","No",21,"No","Healthcare",0,"Low",6,6
"1895","Female","Yes",71,"Yes","Artist",0,"High",4,5
"1896","Female","No",39,"Yes","Entertainment",8,"Low",4,5
"1897","Female","Yes",87,"Yes","Lawyer",1,"High",2,4
"1898","Male","Yes",59,"No","Entertainment",6,"Average",3,3
"1899","Male","No",32,"Yes","Marketing",8,"Low",1,5
"1900","Male","Yes",40,"No","Executive",7,"Low",4,2
"1901","Female","Yes",58,"Yes","Artist",0,"High",3,5
"1903","Female","No",31,"Yes","Marketing",0,"Low",9,5
"1907","Male","No",35,"No","Marketing",0,"Low",4,5
"1908","Female","Yes",46,"Yes","Artist",8,"Average",2,3
"1909","Male","Yes",69,"Yes","Artist",1,"Low",2,5
"1910","Male","Yes",69,"Yes","Doctor",0,"High",3,5
"1911","Female","Yes",45,"Yes","Entertainment",3,"Average",5,3
"1912","Male","Yes",38,"Yes","Artist",0,"Low",4,5
"1913","Male","Yes",39,"Yes","Executive",5,"High",3,2
"1915","Female","No",23,"No","Healthcare",2,"Low",5,6
"1916","Female","Yes",58,"No","Engineer",0,"Average",6,1
"1917","Male","Yes",84,"Yes","Entertainment",0,"High",2,5
"1918","Male","Yes",35,"Yes","Artist",5,"Average",2,3
"1919","Female","No",22,"No","Healthcare",1,"Low",2,6
"1921","Male","No",23,"No","Healthcare",0,"Low",2,6
"1922","Female","No",41,"Yes","Artist",3,"Low",3,5
"1923","Male","Yes",50,"Yes","Executive",4,"High",3,2
"1924","Male","Yes",50,"Yes","Executive",0,"High",4,2
"1925","Female","No",28,"Yes","Homemaker",8,"Low",1,1
"1926","Female","Yes",37,"Yes","Doctor",1,"Average",2,3
"1930","Male","Yes",73,"No","Executive",1,"High",2,2
"1932","Male","Yes",50,"Yes","Executive",1,"High",3,2
"1934","Female","Yes",32,"Yes","Artist",4,"High",2,5
"1935","Female","No",39,"Yes","Doctor",2,"Low",1,5
"1936","Male","No",43,"Yes","Doctor",1,"Low",4,5
"1937","Female","No",33,"Yes","Artist",5,"Low",2,5
"1938","Male","Yes",61,"Yes","Artist",1,"Average",3,3
"1939","Female","Yes",70,"Yes","Doctor",0,"Average",2,3
"1940","Male","Yes",66,"Yes","Artist",1,"Average",2,3
"1941","Female","Yes",72,"Yes","Artist",0,"Low",1,5
"1942","Male","Yes",71,"Yes","Artist",0,"High",2,5
"1943","Male","No",18,"No","Healthcare",8,"Low",9,6
"1944","Male","Yes",33,"No","Artist",1,"Average",2,3
"1945","Male","No",28,"Yes","Artist",9,"Low",1,5
"1946","Female","Yes",27,"Yes","Marketing",11,"Average",2,3
"1947","Female","Yes",38,"No","Engineer",1,"Low",5,1
"1948","Male","Yes",63,"Yes","Artist",0,"Average",7,3
"1949","Male","Yes",70,"Yes","Lawyer",0,"High",3,4
"1950","Female","No",26,"Yes","Healthcare",10,"Low",1,6
"1951","Male","Yes",36,"No","Entertainment",1,"Low",2,5
"1952","Female","Yes",47,"Yes","Artist",0,"Low",3,5
"1953","Male","No",28,"No","Entertainment",9,"Low",2,5
"1954","Female","No",26,"Yes","Entertainment",1,"Low",5,5
"1956","Male","No",20,"No","Marketing",1,"Low",3,5
"1957","Male","Yes",30,"Yes","Artist",0,"Average",2,3
"1958","Male","No",41,"Yes","Entertainment",8,"Low",2,5
"1959","Female","No",40,"Yes","Doctor",1,"Low",1,5
"1960","Female","Yes",47,"No","Engineer",1,"Average",4,1
"1961","Male","Yes",40,"Yes","Entertainment",2,"Average",5,3
"1962","Female","Yes",53,"No","Engineer",0,"Average",3,1
"1964","Male","Yes",60,"Yes","Artist",1,"Low",2,5
"1965","Female","No",27,"Yes","Artist",8,"Low",1,5
"1966","Male","Yes",43,"Yes","Artist",2,"Low",2,5
"1967","Female","No",33,"Yes","Homemaker",7,"Low",3,1
"1968","Male","Yes",56,"Yes","Entertainment",0,"Average",2,3
"1969","Male","Yes",70,"Yes","Executive",1,"High",2,2
"1970","Male","Yes",70,"No","Doctor",1,"High",2,5
"1973","Female","No",40,"Yes","Engineer",6,"Low",3,1
"1975","Female","No",29,"Yes","Healthcare",1,"Low",4,6
"1977","Female","Yes",40,"Yes","Engineer",0,"Average",2,1
"1978","Male","Yes",82,"Yes","Lawyer",1,"Low",1,4
"1979","Female","No",38,"Yes","Artist",7,"Low",1,5
"1980","Male","Yes",39,"Yes","Doctor",0,"Average",3,3
"1981","Male","Yes",39,"Yes","Artist",0,"Average",2,3
"1982","Male","No",47,"Yes","Artist",0,"Low",1,5
"1983","Male","Yes",75,"Yes","Lawyer",0,"High",2,4
"1984","Female","Yes",37,"No","Marketing",0,"Low",4,5
"1985","Male","Yes",84,"No","Lawyer",1,"High",2,4
"1986","Female","No",42,"Yes","Entertainment",6,"Low",2,5
"1987","Male","Yes",39,"Yes","Doctor",0,"Average",2,3
"1988","Male","Yes",42,"Yes","Artist",0,"Average",2,3
"1989","Female","Yes",40,"Yes","Artist",1,"Average",2,3
"1990","Female","No",52,"Yes","Doctor",1,"Low",1,5
"1991","Male","No",52,"No","Artist",5,"Low",1,5
"1992","Male","No",31,"Yes","Entertainment",0,"Low",4,5
"1993","Male","Yes",37,"Yes","Marketing",1,"Low",2,5
"1994","Male","No",27,"Yes","Artist",3,"Low",1,5
"1995","Female","No",35,"Yes","Engineer",4,"Low",4,1
"1996","Male","Yes",79,"Yes","Artist",0,"High",2,5
"1997","Female","No",28,"Yes","Doctor",1,"Low",4,5
"1998","Male","No",31,"No","Healthcare",0,"Low",4,6
"1999","Male","Yes",88,"No","Executive",0,"High",3,2
"2000","Female","No",51,"Yes","Entertainment",4,"Low",1,5
"2002","Female","Yes",53,"Yes","Artist",0,"Average",2,3
"2003","Female","No",43,"Yes","Artist",8,"Low",2,5
"2004","Male","Yes",55,"No","Executive",0,"Low",2,2
"2005","Male","No",35,"Yes","Artist",4,"Low",2,5
"2006","Female","Yes",25,"No","Engineer",1,"Average",2,1
"2007","Male","Yes",58,"Yes","Artist",6,"Average",4,3
"2008","Female","No",32,"Yes","Doctor",1,"Low",6,5
"2009","Female","Yes",49,"No","Artist",1,"Average",4,3
"2010","Female","Yes",53,"No","Entertainment",9,"High",2,5
"2011","Female","Yes",31,"No","Engineer",9,"Low",4,1
"2012","Male","No",39,"Yes","Artist",1,"Low",2,5
"2013","Male","No",42,"Yes","Entertainment",1,"Low",1,5
"2014","Male","No",20,"No","Healthcare",1,"Low",5,6
"2015","Male","Yes",50,"Yes","Entertainment",1,"Low",2,5
"2016","Male","No",26,"No","Doctor",0,"Low",6,5
"2017","Male","Yes",46,"Yes","Artist",1,"Average",3,3
"2018","Male","No",30,"Yes","Doctor",0,"Low",2,5
"2019","Female","Yes",60,"Yes","Doctor",6,"Average",2,3
"2020","Male","Yes",84,"No","Lawyer",0,"Low",1,4
"2022","Male","Yes",63,"Yes","Artist",6,"Low",1,5
"2023","Female","No",38,"Yes","Healthcare",0,"Low",2,6
"2024","Male","Yes",51,"Yes","Entertainment",0,"Average",4,3
"2025","Male","No",20,"No","Healthcare",0,"Low",4,6
"2026","Female","No",25,"No","Healthcare",14,"Low",3,6
"2027","Female","No",33,"Yes","Doctor",0,"Low",5,5
"2028","Female","No",31,"No","Engineer",0,"Low",1,1
"2029","Male","Yes",57,"Yes","Healthcare",1,"Low",3,6
"2030","Male","Yes",42,"Yes","Artist",1,"Low",4,5
"2031","Male","Yes",40,"No","Entertainment",2,"Average",5,3
"2032","Male","Yes",66,"No","Lawyer",0,"High",3,4
"2033","Male","No",21,"No","Homemaker",0,"Low",4,1
"2034","Male","Yes",73,"No","Executive",1,"High",2,2
"2035","Female","Yes",46,"Yes","Artist",0,"Low",2,5
"2036","Female","Yes",66,"Yes","Artist",0,"Average",2,3
"2037","Male","Yes",27,"Yes","Doctor",0,"Average",2,3
"2039","Female","Yes",53,"No","Artist",1,"High",4,5
"2040","Male","Yes",80,"No","Lawyer",8,"Low",1,4
"2041","Female","Yes",63,"Yes","Artist",1,"Average",3,3
"2042","Female","No",41,"Yes","Doctor",9,"Low",1,5
"2043","Male","Yes",43,"Yes","Artist",1,"Average",4,3
"2045","Female","No",18,"No","Marketing",9,"Low",5,5
"2046","Female","No",33,"Yes","Entertainment",1,"Low",4,5
"2047","Male","No",30,"No","Engineer",9,"Low",3,1
"2048","Male","Yes",85,"Yes","Executive",1,"High",2,2
"2053","Female","Yes",36,"Yes","Artist",4,"High",7,5
"2054","Male","Yes",27,"No","Entertainment",3,"Average",2,3
"2055","Male","No",28,"No","Healthcare",0,"Low",5,6
"2056","Female","Yes",35,"Yes","Doctor",0,"Average",3,3
"2057","Male","No",26,"Yes","Entertainment",1,"Low",3,5
"2059","Female","Yes",56,"Yes","Artist",1,"High",4,5
"2060","Female","No",26,"Yes","Artist",13,"Low",2,5
"2061","Male","Yes",31,"Yes","Entertainment",4,"Low",2,5
"2062","Male","No",21,"No","Healthcare",0,"Low",2,6
"2063","Male","Yes",39,"No","Entertainment",1,"Average",4,3
"2064","Female","No",51,"Yes","Artist",0,"Low",1,5
"2065","Male","Yes",45,"No","Doctor",0,"Low",4,5
"2069","Male","Yes",77,"Yes","Executive",1,"Low",1,2
"2071","Female","Yes",33,"No","Engineer",7,"Average",5,1
"2072","Male","No",29,"No","Artist",1,"Low",3,5
"2074","Male","Yes",43,"Yes","Artist",1,"Low",2,5
"2075","Female","No",18,"No","Healthcare",1,"Low",3,6
"2076","Male","Yes",53,"Yes","Artist",3,"Average",3,3
"2077","Male","Yes",28,"Yes","Entertainment",3,"Average",3,3
"2078","Female","No",43,"Yes","Entertainment",1,"Low",4,5
"2079","Male","No",31,"Yes","Entertainment",1,"Low",3,5
"2081","Male","Yes",65,"Yes","Artist",1,"Low",2,5
"2082","Male","Yes",33,"Yes","Artist",0,"Average",2,3
"2083","Male","Yes",49,"Yes","Artist",0,"Average",6,3
"2084","Male","No",33,"No","Healthcare",1,"Low",4,6
"2085","Male","Yes",53,"Yes","Artist",6,"Average",2,3
"2086","Female","Yes",47,"Yes","Artist",7,"Average",4,3
"2087","Male","No",31,"No","Entertainment",1,"Low",7,5
"2088","Male","Yes",52,"Yes","Executive",1,"High",4,2
"2091","Female","No",30,"Yes","Healthcare",1,"Low",2,6
"2093","Male","Yes",69,"No","Executive",9,"Average",2,2
"2094","Male","No",29,"Yes","Engineer",0,"Low",4,1
"2095","Female","Yes",56,"No","Engineer",1,"Average",5,1
"2096","Female","Yes",72,"Yes","Artist",1,"Average",3,3
"2098","Male","No",30,"No","Engineer",1,"Low",4,1
"2099","Female","No",31,"Yes","Healthcare",1,"Low",4,6
